file_path,file_name,file_type,mime_type,size_bytes,hash_sha256,detected_at,total_pages,digital_pages,percent_digital,classification_type,classification_confidence,allowed,rejection_reason
/home/bryanjowers/pdf-rag/pdf_input/2023004079 ASSN. Legacy Reserves Operating LP to Silver Hill Haynesville E&P LLC Shelby County TX.pdf,2023004079 ASSN. Legacy Reserves Operating LP to Silver Hill Haynesville E&P LLC Shelby County TX.pdf,pdf,application/pdf,387599,b751848f343df7ed3b970dc9227f91322aaea31df4cb589ad222d075b4822954,2025-10-29T03:08:48.901730Z,4,0,0.0000,pdf_scanned,high,True,
"/home/bryanjowers/pdf-rag/pdf_input/2023004337 Deed of Trust Silver Hill Haynesville E&P LLC and Wells Fargo Bank NA, Shelby County, TX.pdf","2023004337 Deed of Trust Silver Hill Haynesville E&P LLC and Wells Fargo Bank NA, Shelby County, TX.pdf",pdf,application/pdf,17018003,00b517e9b55cdc7ad4f82a6144c23ceb389145ddfbff43e052bff6b1e524ba36,2025-10-29T03:08:48.901730Z,107,0,0.0000,pdf_scanned,high,True,
/home/bryanjowers/pdf-rag/pdf_input/21-316_WD_Reeves H M to Willis W A et al.pdf,21-316_WD_Reeves H M to Willis W A et al.pdf,pdf,application/pdf,320207,17a1b763d6ab8a1b924ff4a219e2122f52ba63c0f6955394b8a9e4c90a0f0291,2025-10-29T03:08:48.901730Z,2,0,0.0000,pdf_scanned,high,True,
/home/bryanjowers/pdf-rag/pdf_input/871-828_Assn_Marathon Oil to Marathon Oil (East TX).pdf,871-828_Assn_Marathon Oil to Marathon Oil (East TX).pdf,pdf,application/pdf,2268925,d672152424e10a765cb84729be14ed6b1beacfc914e32ea02d133ba8e4030cb2,2025-10-29T03:08:48.901730Z,21,0,0.0000,pdf_scanned,high,True,
"/home/bryanjowers/pdf-rag/pdf_input/SDTO_170 ac. Cavin Unit - Tracts 7,8,9, Panola County, TX (DRAFT).docx","SDTO_170 ac. Cavin Unit - Tracts 7,8,9, Panola County, TX (DRAFT).docx",docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,302796,dd6588894bb1d8ae87e8521da705fcc82c16a2d84ecda7fe168ba47a37d4fec8,2025-10-29T03:08:48.901730Z,,,,,,True,
/home/bryanjowers/pdf-rag/pdf_input/SDTO_170.0 ac 12-5-2022.pdf,SDTO_170.0 ac 12-5-2022.pdf,pdf,application/pdf,370338,21be79f4560d3bca6e319cef32c7eaa2edb06ade817909060587038b5cbbfe7d,2025-10-29T03:08:48.901730Z,28,28,1.0000,pdf_digital,high,True,
"/home/bryanjowers/pdf-rag/pdf_input/SDTO_DOI_128.0 ac Cavin Unit - Tract 1 Panola County, TX.xlsx","SDTO_DOI_128.0 ac Cavin Unit - Tract 1 Panola County, TX.xlsx",xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,48246,f25fcc1dd9058dc7c49a6f9cfa457836b26d1ca89c3d0f1fd6d05974020407c7,2025-10-29T03:08:48.901730Z,,,,,,True,
"/home/bryanjowers/pdf-rag/pdf_input/SDTO_DOI_170.0 ac Cavin Unit - Tracts 7,8,9, Panola County, TX.xlsx","SDTO_DOI_170.0 ac Cavin Unit - Tracts 7,8,9, Panola County, TX.xlsx",xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,22428,7e3722240a553b855c02ca0f8e488771691759960d28a91ca8b2ca8bc4d5571d,2025-10-29T03:08:48.901730Z,,,,,,True,
/home/bryanjowers/pdf-rag/pdf_input/simple.pdf,simple.pdf,pdf,application/pdf,14157,709e2ad92a450be001ff628402e6f1b5920e50c0cc0ae80ee6b8481ec47f1105,2025-10-29T03:08:48.901730Z,1,1,1.0000,pdf_digital,high,True,
/home/bryanjowers/pdf-rag/pdf_input/Subject Property Plat - Sec 15-18N-16W.pdf,Subject Property Plat - Sec 15-18N-16W.pdf,pdf,application/pdf,611255,9b3a4111a7494f4b05353fcab55e56834eca640ef4ccd9c0156da61a286b6d19,2025-10-29T03:08:48.901730Z,1,1,1.0000,pdf_digital,high,True,
/home/bryanjowers/pdf-rag/pdf_input/Supplemental Drilling Title Opinion Silver Hill Cavin Unit - Tract 1 5.16.25  rml 7.14.2025.docx,Supplemental Drilling Title Opinion Silver Hill Cavin Unit - Tract 1 5.16.25  rml 7.14.2025.docx,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,3094216,c937e2f0c7f0ad630a684890b4469adf198d5481f9ca36c80d7402856b299961,2025-10-29T03:08:48.901730Z,,,,,,True,
/home/bryanjowers/pdf-rag/pdf_input/Supplemental Drilling Title Opinion Silver Hill Cavin Unit - Tract 1 5.16.25.docx,Supplemental Drilling Title Opinion Silver Hill Cavin Unit - Tract 1 5.16.25.docx,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,3083871,5ab02a798e9d57f0ef1f9c9a7795048cd3c82503ed7ddc4610bb54c925957d60,2025-10-29T03:08:48.901730Z,,,,,,True,
